Event	Sample label (DSDP/ODP/IODP sample designation)	Sample comment	Top [mcd]	Age [ka BP] (Age, benthic δ18O stratigraphy)	UK37 (Calculated from UK37)	UK'37 (Calculated from UK'37)	SST [°C] (SST, from UK37)	SST [°C] (SST, from UK'37)	C37:4 [%]
162-983C	162-983C-10H-6,130-131	Working half	99.85	840.78	0.350	0.414	10.7	11.2	4.5
162-983B	162-983B-11H-2,20-21	Working half	100.65	846.31	0.235	0.354	5.9	9.4	8.8
162-983B	162-983B-11H-2,107-108	Working half	101.49	851.97	0.321	0.375	9.5	10.0	4.0
162-983B	162-983B-11H-3,43-44	Working half	102.35	859.04	0.398	0.398	12.7	10.7	0.0
162-983B	162-983B-11H-3,113-114	Working half	103.05	867.60	0.344	0.364	10.5	9.7	1.4
162-983B	162-983B-11H-3143-144	Working half	103.35	873.29					
162-983C	162-983C-11H-2,34-35	Working half	103.59	877.85	0.279	0.465	7.7	12.8	12.7
162-983C	162-983C-11H-2,64-65	Working half	103.89	882.70					
162-983B	162-983B-11H-4,75-76	Working half	104.19	887.54	0.237	0.314	6.0	8.2	5.9
162-983C	162-983C-11H-2,120-121	Working half	104.44	891.58	0.261	0.340	7.0	9.0	5.9
162-983B	162-983B-11H-3,02-3	Working half	104.74	894.92					
162-983C	162-983C-11H-3,65-66	Working half	105.38	898.86	0.237	0.337	6.0	8.9	7.5
162-983C	162-983C-11H-3,135-136	Working half	106.08	902.56	0.325	0.356	9.7	9.4	2.3
162-983C	162-983C-11H-4,50-51	Working half	106.74	909.27	0.345	0.379	10.5	10.1	2.4
162-983C	162-983C-11H-4,110-111	Working half	107.34	917.01	0.301	0.387	8.7	10.4	6.2
162-983C	162-983C-11H-5,20-21	Working half	107.94	921.84	0.300	0.317	8.6	8.3	1.3
162-983C	162-983C-11H-5,84-85	Working half	108.59	927.07	0.229	0.334	5.7	8.8	7.8
162-983C	162-983C-11H-5,144-145	Working half	109.19	931.90	0.318	0.358	9.4	9.5	2.9
162-983B	162-983B-12H-1,30-31	Working half	109.79	936.73	0.232	0.343	5.8	9.1	8.2
162-983B	162-983B-12H-1,90-91	Working half	110.39	941.56	0.325	0.394	9.7	10.6	4.9
