Event	DateTime	Latitude	Longitude	Sample label	Depthsed	Depthcomp	Depthcompr	Depthcorrcr	HybridAge	AgeLisiec	AgeAhn	AgeKonijn	d18O	d13C
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,54-55	83.450	87.270	87.270	87.270	742.68	743.17	743.17	742.59	2.39	-1.06
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,56-57	83.470	87.290	87.290	87.291	742.90	743.33	743.33	742.81	2.48	-1.06
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,58-59	83.490	87.310	87.310	87.311	743.11	743.48	743.48	743.02	2.50	-1.11
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,60-61	83.510	87.330	87.330	87.332	743.33	743.64	743.64	743.23	1.82	-1.16
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,62-63	83.530	87.350	87.350	87.353	743.55	743.80	743.80	743.45	1.94	-1.10
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,64-65	83.550	87.370	87.370	87.373	743.76	743.95	743.95	743.66	2.10	-1.05
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,66-67	83.570	87.390	87.390	87.394	743.98	744.11	744.11	743.87	2.35	-1.04
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,68-69	83.590	87.410	87.410	87.414	744.18	744.26	744.26	744.08	1.97	-1.15
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,70-71	83.610	87.430	87.430	87.435	744.40	744.42	744.42	744.30	1.86	-1.24
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,72-73	83.630	87.450	87.450	87.455	744.61	744.57	744.57	744.50	1.79	-1.30
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,74-75	83.650	87.470	87.470	87.476	744.83	744.73	744.73	744.72	2.10	-1.22
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,76-77	83.670	87.490	87.490	87.496	745.04	744.89	744.89	744.93	2.18	-1.26
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,78-79	83.690	87.510	87.510	87.517	745.26	745.04	745.04	745.14	1.92	-1.08
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,80-81	83.710	87.530	87.530	87.538	745.47	745.20	745.20	745.36	1.81	-1.17
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,82-83	83.730	87.550	87.550	87.558	745.68	745.36	745.36	745.57	1.82	-1.27
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,84-85	83.750	87.570	87.570	87.579	745.90	745.51	745.51	745.78	1.74	-1.23
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,86-87	83.770	87.590	87.590	87.599	746.11	745.67	745.67	745.99	1.77	-1.03
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,88-89	83.790	87.610	87.610	87.620	746.33	745.83	745.83	746.21	1.95	-1.27
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,90-91	83.810	87.630	87.630	87.640	746.54	745.98	745.98	746.41	2.13	-1.04
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,92-93	83.830	87.650	87.650	87.661	746.75	746.14	746.14	746.63	2.28	-1.27
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,94-95	83.850	87.670	87.670	87.681	746.96	746.29	746.29	746.83	1.79	-1.31
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,96-97	83.870	87.690	87.690	87.702	747.18	746.45	746.45	747.05	1.79	-1.32
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,98-99	83.890	87.710	87.710	87.723	747.40	746.61	746.61	747.27	1.98	-1.28
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,100-101	83.910	87.730	87.730	87.743	747.61	746.76	746.76	747.47	1.77	-1.41
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,102-103	83.930	87.750	87.750	87.764	747.83	746.92	746.92	747.69	1.64	-1.64
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,104-105	83.950	87.770	87.770	87.784	748.03	747.07	747.07	747.90	1.61	-1.48
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,106-107	83.970	87.790	87.790	87.805	748.25	747.23	747.23	748.11	1.58	-1.48
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,108-109	83.990	87.810	87.810	87.825	748.46	747.38	747.38	748.32	1.60	-1.72
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,110-111	84.010	87.830	87.830	87.846	748.68	747.54	747.54	748.54	1.78	-1.27
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,112-113	84.030	87.850	87.850	87.866	748.89	747.69	747.69	748.74	1.51	-1.57
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,114-115	84.050	87.870	87.870	87.887	749.11	747.85	747.85	748.96	1.59	-1.12
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,116-117	84.070	87.890	87.890	87.908	749.33	748.01	748.01	749.18	1.38	-1.40
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,118-119	84.090	87.910	87.910	87.928	749.53	748.16	748.16	749.38	1.31	-1.30
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,120-121	84.110	87.930	87.930	87.949	749.75	748.32	748.32	749.60	1.84	-1.00
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,122-123	84.130	87.950	87.950	87.969	749.96	748.47	748.47	749.81	1.29	-1.32
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,124-125	84.150	87.970	87.970	87.990	750.18	748.63	748.63	750.02	1.43	-1.38
339-U1385D		37.5713	-10.1259	339-U1385D-10H-3,126-127	84.170	87.990	87.990	88.010	750.39	748.78	748.78	750.23	1.49	-1.12
