Age (Ma)	Global mean SST (oC) hi-res area weighted	SST +1stdev	SST -1stdev	Global mean SST (oC) lo-res weighted	lo-res SST +1stdev	lo-res SST -1stdev	Global mean surface temp (GMST) (oC) area weighted	GMST +1stdev	GMST -1stdev
4.188	3.15	4.16	2.15	3.06	3.56	2.56	4.40	5.95	2.86
4.189	3.07	4.07	2.06	3.04	3.54	2.54	4.32	5.86	2.77
4.19	2.98	3.98	1.97	3.02	3.51	2.52	4.23	5.78	2.68
4.191	2.88	3.89	1.87	2.99	3.49	2.49	4.13	5.69	2.57
4.192	2.78	3.80	1.75	2.96	3.45	2.46	4.01	5.59	2.43
4.193	2.66	3.64	1.69	2.92	3.42	2.43	3.88	5.39	2.38
4.194	2.53	3.52	1.55	2.88	3.38	2.39	3.73	5.25	2.21
4.195	2.43	3.42	1.44	2.85	3.34	2.35	3.62	5.15	2.09
4.196	2.38	3.37	1.38	2.83	3.32	2.34	3.57	5.10	2.03
4.197	2.32	3.32	1.32	2.81	3.30	2.32	3.50	5.05	1.96
4.198	2.28	3.30	1.26	2.80	3.29	2.31	3.47	5.04	1.90
4.199	2.25	3.29	1.20	2.79	3.28	2.30	3.45	5.05	1.85
4.2	2.76	3.62	1.91	2.81	3.30	2.32	4.03	5.36	2.70
4.201	2.71	3.68	1.74	2.83	3.31	2.34	3.86	5.36	2.36
4.202	2.69	3.66	1.72	2.81	3.29	2.32	3.82	5.32	2.32
4.203	2.65	3.63	1.67	2.78	3.27	2.30	3.76	5.27	2.25
4.204	2.64	3.62	1.65	2.78	3.27	2.29	3.74	5.25	2.22
4.205	2.94	3.90	1.98	2.77	3.26	2.29	4.12	5.60	2.65
4.206	2.69	3.74	1.64	2.74	3.24	2.25	3.79	5.41	2.18
4.207	2.68	3.73	1.63	2.75	3.24	2.26	3.77	5.38	2.16
4.208	2.85	3.82	1.88	2.80	3.29	2.30	4.08	5.58	2.58
