Age	d18Osw	sigma
0.672	0.61	0.32
0.673	0.52	0.32
0.674	0.47	0.32
0.675	0.54	0.30
0.676	0.57	0.29
0.677	0.56	0.30
0.678	0.54	0.30
0.679	0.48	0.31
0.68	0.41	0.31
0.681	0.38	0.31
0.682	0.37	0.31
0.683	0.34	0.32
0.684	0.25	0.33
0.685	0.30	0.34
0.686	0.38	0.35
0.687	0.36	0.31
0.688	0.35	0.29
0.689	0.42	0.29
0.69	0.37	0.30
0.691	0.23	0.29
0.692	0.14	0.29
0.693	0.26	0.33
0.694	0.20	0.39
0.695	0.11	0.32
0.696	0.02	0.28
0.697	0.02	0.29
0.698	0.05	0.30
0.699	0.06	0.31
0.7	0.08	0.32
0.701	0.17	0.36
0.702	0.28	0.41
0.703	0.21	0.36
0.704	0.20	0.31
0.705	0.29	0.29
0.706	0.35	0.28
0.707	0.41	0.28
0.708	0.43	0.27
0.709	0.43	0.29
0.71	0.42	0.31
0.711	0.44	0.33
0.712	0.42	0.36
0.713	0.40	0.39
0.714	0.37	0.43
0.715	0.35	0.38
0.716	0.46	0.35
0.717	0.57	0.37
0.718	0.69	0.39
0.719	0.65	0.36
0.72	0.63	0.33
0.721	0.67	0.34
0.722	0.72	0.36
0.723	0.71	0.36
0.724	0.69	0.36
0.725	0.60	0.30
0.726	0.49	0.27
0.727	0.40	0.28
0.728	0.33	0.29
0.729	0.26	0.31
0.73	0.19	0.33
0.731	0.21	0.35
0.732	0.21	0.37
0.733	0.24	0.33
0.734	0.29	0.30
0.735	0.31	0.32
0.736	0.36	0.34
0.737	0.41	0.31
0.738	0.45	0.29
0.739	0.43	0.35
0.74	0.39	0.42
0.741	0.38	0.36
0.742	0.37	0.31
0.743	0.56	0.38
0.744	0.73	0.47
0.745	0.72	0.41
0.746	0.68	0.35
0.747	0.65	0.33
0.748	0.65	0.31
0.749	0.67	0.30
0.75	0.68	0.29
0.751	0.66	0.30
0.752	0.63	0.31
0.753	0.58	0.36
0.754	0.55	0.41
0.755	0.54	0.34
0.756	0.58	0.29
0.757	0.50	0.29
0.758	0.48	0.29
0.759	0.39	0.29
0.76	0.40	0.28
0.761	0.30	0.29
0.762	0.21	0.31
0.763	0.33	0.31
0.764	0.49	0.32
0.765	0.35	0.30
0.766	0.26	0.28
0.767	0.26	0.29
0.768	0.26	0.32
0.769	0.21	0.30
0.77	0.15	0.28
