Age	d18OT	sigma
0.661	3.73	0.12
0.662	3.73	0.12
0.663	3.74	0.12
0.664	3.73	0.12
0.665	3.72	0.11
0.666	3.71	0.12
0.667	3.73	0.12
0.668	3.73	0.13
0.669	3.75	0.13
0.670	3.75	0.14
0.671	3.75	0.14
0.672	3.75	0.14
0.673	3.77	0.14
0.674	3.75	0.13
0.675	3.72	0.13
0.676	3.73	0.12
0.677	3.70	0.12
0.678	3.68	0.12
0.679	3.67	0.12
0.680	3.67	0.12
0.681	3.65	0.12
0.682	3.63	0.12
0.683	3.59	0.12
0.684	3.59	0.12
0.685	3.61	0.12
0.686	3.61	0.13
0.687	3.55	0.12
0.688	3.49	0.12
0.689	3.39	0.12
0.690	3.39	0.12
0.691	3.41	0.12
0.692	3.41	0.12
0.693	3.37	0.12
0.694	3.47	0.15
0.695	3.47	0.16
0.696	3.47	0.15
0.697	3.46	0.14
0.698	3.42	0.14
0.699	3.40	0.13
0.700	3.38	0.13
0.701	3.39	0.13
0.702	3.38	0.13
0.703	3.42	0.14
0.704	3.39	0.13
0.705	3.37	0.12
0.706	3.36	0.11
0.707	3.38	0.10
0.708	3.43	0.11
0.709	3.45	0.12
0.710	3.49	0.12
0.711	3.52	0.13
0.712	3.59	0.14
0.713	3.61	0.13
0.714	3.63	0.12
0.715	3.73	0.12
0.716	3.72	0.12
0.717	3.73	0.12
0.718	3.73	0.12
0.719	3.74	0.12
0.720	3.73	0.11
0.721	3.72	0.11
0.722	3.71	0.11
0.723	3.69	0.11
0.724	3.68	0.11
0.725	3.67	0.12
0.726	3.68	0.12
0.727	3.69	0.12
0.728	3.68	0.13
0.729	3.67	0.13
0.730	3.65	0.13
0.731	3.62	0.13
0.732	3.61	0.13
0.733	3.62	0.12
0.734	3.61	0.13
0.735	3.60	0.13
0.736	3.57	0.13
0.737	3.56	0.13
0.738	3.55	0.12
0.739	3.55	0.12
0.740	3.56	0.12
0.741	3.58	0.11
0.742	3.60	0.11
0.743	3.61	0.11
0.744	3.62	0.11
0.745	3.64	0.12
0.746	3.67	0.11
0.747	3.68	0.10
0.748	3.67	0.09
0.749	3.64	0.09
0.750	3.62	0.08
0.751	3.61	0.08
0.752	3.62	0.07
0.753	3.62	0.08
0.754	3.62	0.08
0.755	3.63	0.09
0.756	3.60	0.08
0.757	3.63	0.09
0.758	3.62	0.10
0.759	3.65	0.11
0.760	3.61	0.10
0.761	3.58	0.09
0.762	3.54	0.09
0.763	3.55	0.10
0.764	3.53	0.09
0.765	3.55	0.09
0.766	3.54	0.09
0.767	3.54	0.10
0.768	3.54	0.10
0.769	3.55	0.10
0.770	3.56	0.10
0.771	3.56	0.11
0.772	3.54	0.11
0.773	3.53	0.12
0.774	3.51	0.12
0.775	3.48	0.11
0.776	3.45	0.11
0.777	3.43	0.10
0.778	3.39	0.10
0.779	3.42	0.10
0.780	3.39	0.10
0.781	3.36	0.09
0.782	3.34	0.08
0.783	3.33	0.08
0.784	3.34	0.08
0.785	3.38	0.08
0.786	3.42	0.09
0.787	3.45	0.09
0.788	3.48	0.09
0.789	3.54	0.09
0.790	3.60	0.10
0.791	3.64	0.11
0.792	3.66	0.10
0.793	3.73	0.11
0.794	3.83	0.12
