Age	d18OT	sigma
3.490	2.84	0.09
3.491	2.83	0.09
3.492	2.83	0.08
3.493	2.83	0.09
3.494	2.83	0.09
3.495	2.83	0.09
3.496	2.83	0.09
3.497	2.83	0.09
3.498	2.83	0.09
3.499	2.83	0.10
3.500	2.85	0.09
3.501	2.83	0.10
3.502	2.83	0.10
3.503	2.84	0.10
3.504	2.84	0.10
3.505	2.84	0.10
3.506	2.85	0.10
3.507	2.85	0.11
3.508	2.86	0.11
3.509	2.86	0.11
3.510	2.87	0.11
3.511	2.88	0.12
3.512	2.90	0.12
3.513	2.90	0.12
3.514	2.90	0.12
3.515	2.90	0.12
3.516	2.90	0.12
3.517	2.90	0.12
3.518	2.91	0.12
3.519	2.89	0.12
3.520	2.89	0.12
3.521	2.89	0.12
3.522	2.89	0.12
3.523	2.88	0.12
3.524	2.88	0.12
3.525	2.87	0.12
3.526	2.87	0.11
3.527	2.87	0.12
3.528	2.87	0.12
3.529	2.85	0.11
3.530	2.87	0.12
3.531	2.87	0.12
3.532	2.87	0.11
3.533	2.88	0.11
3.534	2.88	0.11
3.535	2.88	0.11
3.536	2.88	0.10
3.537	2.89	0.10
3.538	2.89	0.10
3.539	2.89	0.10
3.540	2.90	0.10
3.541	2.90	0.10
3.542	2.89	0.10
3.543	2.89	0.10
3.544	2.89	0.10
3.545	2.88	0.10
3.546	2.88	0.10
3.547	2.88	0.10
3.548	2.88	0.10
3.549	2.88	0.10
3.550	2.88	0.10
3.551	2.87	0.10
3.552	2.88	0.09
3.553	2.87	0.10
3.554	2.87	0.10
3.555	2.88	0.09
3.556	2.87	0.09
3.557	2.87	0.08
3.558	2.86	0.09
3.559	2.89	0.09
3.560	2.89	0.08
3.561	2.89	0.09
3.562	2.88	0.09
3.563	2.89	0.10
3.564	2.89	0.09
3.565	2.89	0.09
3.566	2.89	0.09
3.567	2.89	0.09
3.568	2.88	0.09
3.569	2.89	0.09
3.570	2.88	0.09
3.571	2.87	0.09
3.572	2.87	0.09
3.573	2.88	0.09
3.574	2.88	0.09
3.575	2.88	0.09
3.576	2.89	0.09
3.577	2.90	0.08
3.578	2.90	0.08
3.579	2.90	0.08
3.580	2.90	0.08
3.581	2.91	0.08
3.582	2.91	0.08
3.583	2.90	0.08
3.584	2.89	0.08
3.585	2.88	0.08
3.586	2.89	0.08
3.587	2.88	0.08
3.588	2.87	0.08
3.589	2.86	0.09
3.590	2.86	0.09
3.591	2.86	0.09
3.592	2.85	0.09
3.593	2.86	0.08
3.594	2.86	0.09
3.595	2.85	0.09
3.596	2.86	0.09
3.597	2.86	0.09
3.598	2.85	0.09
3.599	2.84	0.09
3.600	2.84	0.09
3.601	2.83	0.09
3.602	2.83	0.10
3.603	2.83	0.10
3.604	2.82	0.09
3.605	2.82	0.09
3.606	2.82	0.09
3.607	2.82	0.09
3.608	2.82	0.09
3.609	2.82	0.09
3.610	2.83	0.09
3.611	2.83	0.09
3.612	2.83	0.09
3.613	2.83	0.09
3.614	2.85	0.09
3.615	2.84	0.10
3.616	2.88	0.09
3.617	2.84	0.09
3.618	2.84	0.10
3.619	2.84	0.09
3.620	2.83	0.09
3.621	2.84	0.10
3.622	2.85	0.10
3.623	2.84	0.09
3.624	2.84	0.09
3.625	2.83	0.09
3.626	2.83	0.09
3.627	2.83	0.08
3.628	2.84	0.08
3.629	2.84	0.08
3.630	2.84	0.08
3.631	2.85	0.08
3.632	2.85	0.08
3.633	2.85	0.09
3.634	2.85	0.09
3.635	2.85	0.09
3.636	2.87	0.08
3.637	2.86	0.09
3.638	2.85	0.09
3.639	2.86	0.09
3.640	2.86	0.09
3.641	2.87	0.09
3.642	2.87	0.08
3.643	2.86	0.09
3.644	2.85	0.09
3.645	2.85	0.09
3.646	2.84	0.09
3.647	2.84	0.09
3.648	2.84	0.09
3.649	2.84	0.08
3.650	2.85	0.08
3.651	2.84	0.08
3.652	2.84	0.08
3.653	2.84	0.08
3.654	2.84	0.08
3.655	2.85	0.09
3.656	2.85	0.09
3.657	2.85	0.09
3.658	2.85	0.09
3.659	2.89	0.08
3.660	2.86	0.09
3.661	2.85	0.09
3.662	2.85	0.09
3.663	2.85	0.09
3.664	2.85	0.09
3.665	2.85	0.09
3.666	2.84	0.09
3.667	2.86	0.08
3.668	2.85	0.08
3.669	2.83	0.08
3.670	2.86	0.07
3.671	2.86	0.08
3.672	2.86	0.08
3.673	2.87	0.09
3.674	2.88	0.09
3.675	2.87	0.09
3.676	2.87	0.09
3.677	2.86	0.09
3.678	2.87	0.09
3.679	2.87	0.09
3.680	2.86	0.09
3.681	2.86	0.09
3.682	2.84	0.11
3.683	2.83	0.11
3.684	2.83	0.11
3.685	2.83	0.11
3.686	2.83	0.11
3.687	2.84	0.11
3.688	2.84	0.11
3.689	2.83	0.11
3.690	2.83	0.12
3.691	2.84	0.12
3.692	2.84	0.11
3.693	2.84	0.12
3.694	2.85	0.11
3.695	2.85	0.12
3.696	2.85	0.12
3.697	2.86	0.12
3.698	2.86	0.12
3.699	2.86	0.12
3.700	2.87	0.12
3.701	2.87	0.12
3.702	2.90	0.11
3.703	2.88	0.12
3.704	2.88	0.12
3.705	2.88	0.12
3.706	2.88	0.12
3.707	2.88	0.12
3.708	2.89	0.11
3.709	2.89	0.11
3.710	2.88	0.10
3.711	2.89	0.11
3.712	2.87	0.10
3.713	2.88	0.12
3.714	2.88	0.12
3.715	2.88	0.12
3.716	2.88	0.13
3.717	2.87	0.12
3.718	2.86	0.12
3.719	2.85	0.12
3.720	2.86	0.11
3.721	2.84	0.11
3.722	2.84	0.11
3.723	2.84	0.11
3.724	2.84	0.11
3.725	2.83	0.10
3.726	2.84	0.10
3.727	2.84	0.10
3.728	2.84	0.10
3.729	2.85	0.10
3.730	2.85	0.10
3.731	2.85	0.10
3.732	2.87	0.10
3.733	2.85	0.10
3.734	2.86	0.11
3.735	2.86	0.11
3.736	2.85	0.11
3.737	2.85	0.10
3.738	2.85	0.10
3.739	2.85	0.10
3.740	2.86	0.09
3.741	2.84	0.09
3.742	2.84	0.10
3.743	2.84	0.10
3.744	2.84	0.10
3.745	2.82	0.11
3.746	2.84	0.11
3.747	2.84	0.11
3.748	2.83	0.11
3.749	2.83	0.11
3.750	2.85	0.11
3.751	2.84	0.11
3.752	2.88	0.11
3.753	2.84	0.11
3.754	2.84	0.11
3.755	2.83	0.11
3.756	2.82	0.10
3.757	2.83	0.11
3.758	2.83	0.12
3.759	2.83	0.12
3.760	2.81	0.11
3.761	2.82	0.12
3.762	2.82	0.11
3.763	2.81	0.11
3.764	2.81	0.11
3.765	2.80	0.11
3.766	2.81	0.11
3.767	2.81	0.11
3.768	2.81	0.11
3.769	2.81	0.11
3.770	2.80	0.11
3.771	2.80	0.11
3.772	2.82	0.11
3.773	2.81	0.10
3.774	2.81	0.11
3.775	2.81	0.11
3.776	2.81	0.11
3.777	2.81	0.11
3.778	2.82	0.10
3.779	2.82	0.10
3.780	2.83	0.10
3.781	2.83	0.10
3.782	2.84	0.10
3.783	2.84	0.10
3.784	2.84	0.10
3.785	2.84	0.10
3.786	2.84	0.10
3.787	2.84	0.10
3.788	2.84	0.10
3.789	2.84	0.10
3.790	2.84	0.10
3.791	2.84	0.11
3.792	2.84	0.11
3.793	2.84	0.11
3.794	2.83	0.11
3.795	2.83	0.11
3.796	2.83	0.11
3.797	2.83	0.12
3.798	2.80	0.12
3.799	2.83	0.12
3.800	2.84	0.12
3.801	2.84	0.12
3.802	2.84	0.12
3.803	2.84	0.12
3.804	2.84	0.12
3.805	2.83	0.11
3.806	2.84	0.11
3.807	2.83	0.11
3.808	2.83	0.11
3.809	2.84	0.10
3.810	2.85	0.09
3.811	2.83	0.10
3.812	2.83	0.11
3.813	2.82	0.10
3.814	2.83	0.11
3.815	2.84	0.11
3.816	2.85	0.11
3.817	2.84	0.12
3.818	2.85	0.12
3.819	2.84	0.12
3.820	2.84	0.12
3.821	2.84	0.12
3.822	2.83	0.12
3.823	2.84	0.12
3.824	2.84	0.11
3.825	2.84	0.10
3.826	2.83	0.11
3.827	2.83	0.11
3.828	2.83	0.11
3.829	2.84	0.11
3.830	2.83	0.11
3.831	2.83	0.11
3.832	2.83	0.12
3.833	2.82	0.12
3.834	2.84	0.12
3.835	2.84	0.12
3.836	2.84	0.13
3.837	2.82	0.12
3.838	2.83	0.14
3.839	2.83	0.14
3.840	2.84	0.15
3.841	2.83	0.14
3.842	2.82	0.13
3.843	2.81	0.13
3.844	2.81	0.13
3.845	2.81	0.13
3.846	2.81	0.13
3.847	2.81	0.13
3.848	2.81	0.13
3.849	2.81	0.14
3.850	2.82	0.13
3.851	2.81	0.12
3.852	2.82	0.11
3.853	2.81	0.12
3.854	2.80	0.12
3.855	2.80	0.12
3.856	2.79	0.12
3.857	2.79	0.12
3.858	2.79	0.12
3.859	2.79	0.11
3.860	2.80	0.11
3.861	2.79	0.12
3.862	2.80	0.12
3.863	2.81	0.12
3.864	2.81	0.11
3.865	2.81	0.11
3.866	2.82	0.10
3.867	2.81	0.10
3.868	2.84	0.08
3.869	2.83	0.11
3.870	2.83	0.12
3.871	2.84	0.12
3.872	2.84	0.12
3.873	2.84	0.13
3.874	2.84	0.13
3.875	2.84	0.13
3.876	2.83	0.13
3.877	2.83	0.13
3.878	2.83	0.12
3.879	2.82	0.13
3.880	2.82	0.13
3.881	2.82	0.13
3.882	2.82	0.13
3.883	2.81	0.13
3.884	2.81	0.13
3.885	2.80	0.13
3.886	2.79	0.13
3.887	2.79	0.13
3.888	2.78	0.13
3.889	2.78	0.13
3.890	2.78	0.13
3.891	2.78	0.13
3.892	2.80	0.11
3.893	2.80	0.12
3.894	2.80	0.13
3.895	2.81	0.13
3.896	2.82	0.13
3.897	2.79	0.13
3.898	2.81	0.13
3.899	2.81	0.13
3.900	2.81	0.13
3.901	2.80	0.12
3.902	2.80	0.12
3.903	2.80	0.12
3.904	2.80	0.12
3.905	2.81	0.12
3.906	2.81	0.12
3.907	2.82	0.12
3.908	2.82	0.12
3.909	2.82	0.12
3.910	2.83	0.11
3.911	2.83	0.12
3.912	2.83	0.12
3.913	2.83	0.12
3.914	2.81	0.12
3.915	2.82	0.12
3.916	2.84	0.10
3.917	2.84	0.10
3.918	2.83	0.10
3.919	2.85	0.10
3.920	2.86	0.10
3.921	2.86	0.10
3.922	2.86	0.10
3.923	2.86	0.10
3.924	2.86	0.10
3.925	2.85	0.10
3.926	2.85	0.10
3.927	2.83	0.10
3.928	2.81	0.11
3.929	2.81	0.11
3.930	2.81	0.11
3.931	2.84	0.10
3.932	2.80	0.12
3.933	2.80	0.11
3.934	2.80	0.10
3.935	2.78	0.12
3.936	2.78	0.12
3.937	2.78	0.12
3.938	2.77	0.12
3.939	2.78	0.12
3.940	2.78	0.12
3.941	2.78	0.12
3.942	2.78	0.12
3.943	2.78	0.12
3.944	2.78	0.12
3.945	2.78	0.12
3.946	2.77	0.12
3.947	2.77	0.12
3.948	2.77	0.12
3.949	2.77	0.12
3.950	2.80	0.12
3.951	2.83	0.10
3.952	2.80	0.12
3.953	2.80	0.11
3.954	2.80	0.11
3.955	2.80	0.11
3.956	2.80	0.11
3.957	2.79	0.11
3.958	2.79	0.11
3.959	2.80	0.12
3.960	2.81	0.11
3.961	2.79	0.11
3.962	2.80	0.12
3.963	2.80	0.12
3.964	2.80	0.12
3.965	2.80	0.12
3.966	2.81	0.12
3.967	2.81	0.12
3.968	2.81	0.12
3.969	2.81	0.13
3.970	2.82	0.13
3.971	2.82	0.13
3.972	2.82	0.13
3.973	2.85	0.12
3.974	2.86	0.12
3.975	2.83	0.13
3.976	2.83	0.13
3.977	2.83	0.13
3.978	2.84	0.14
3.979	2.83	0.14
3.980	2.83	0.13
3.981	2.84	0.13
3.982	2.93	0.13
3.983	2.93	0.13
3.984	2.96	0.10
3.985	2.92	0.13
3.986	2.91	0.12
3.987	2.91	0.12
3.988	2.90	0.12
3.989	2.89	0.12
3.990	2.88	0.12
3.991	2.87	0.12
3.992	2.86	0.12
3.993	2.86	0.12
3.994	2.85	0.12
3.995	2.85	0.12
3.996	2.84	0.12
3.997	2.83	0.12
3.998	2.83	0.12
3.999	2.82	0.13
4.000	2.81	0.11
4.001	2.82	0.13
4.002	2.77	0.13
4.003	2.82	0.13
4.004	2.80	0.13
4.005	2.85	0.10
4.006	2.84	0.11
4.007	2.85	0.11
4.008	2.86	0.11
4.009	2.86	0.11
4.010	2.86	0.12
4.011	2.86	0.12
4.012	2.85	0.12
4.013	2.85	0.12
4.014	2.84	0.12
4.015	2.83	0.11
4.016	2.86	0.10
4.017	2.84	0.10
4.018	2.84	0.10
4.019	2.82	0.11
4.020	2.82	0.11
4.021	2.81	0.11
4.022	2.81	0.11
4.023	2.76	0.12
4.024	2.75	0.13
4.025	2.75	0.13
4.026	2.75	0.13
4.027	2.79	0.15
4.028	2.79	0.15
4.029	2.79	0.15
4.030	2.80	0.15
4.031	2.80	0.15
4.032	2.81	0.16
4.033	2.82	0.16
4.034	2.82	0.16
4.035	2.83	0.16
4.036	2.83	0.16
4.037	2.86	0.14
4.038	2.84	0.15
4.039	2.85	0.14
4.040	2.84	0.14
4.041	2.85	0.16
4.042	2.86	0.15
4.043	2.86	0.16
4.044	2.86	0.15
4.045	2.87	0.16
4.046	2.84	0.17
4.047	2.87	0.16
4.048	2.86	0.16
4.049	2.85	0.15
4.050	2.84	0.15
4.051	2.88	0.13
4.052	2.82	0.14
4.053	2.82	0.13
4.054	2.81	0.14
4.055	2.80	0.14
4.056	2.80	0.14
4.057	2.79	0.14
4.058	2.79	0.14
4.059	2.77	0.13
4.060	2.79	0.13
4.061	2.77	0.14
4.062	2.78	0.14
4.063	2.79	0.14
4.064	2.79	0.14
4.065	2.79	0.14
4.066	2.79	0.13
4.067	2.80	0.14
4.068	2.80	0.14
4.069	2.80	0.14
4.070	2.80	0.14
4.071	2.81	0.14
4.072	2.80	0.13
4.073	2.80	0.13
4.074	2.82	0.13
4.075	2.81	0.14
4.076	2.84	0.12
4.077	2.80	0.13
4.078	2.80	0.12
4.079	2.79	0.13
4.080	2.79	0.13
4.081	2.80	0.14
4.082	2.81	0.14
4.083	2.81	0.14
4.084	2.79	0.13
4.085	2.82	0.13
4.086	2.81	0.14
4.087	2.82	0.14
4.088	2.82	0.14
4.089	2.82	0.14
4.090	2.83	0.14
4.091	2.82	0.14
4.092	2.82	0.14
4.093	2.82	0.15
4.094	2.82	0.14
4.095	2.82	0.14
4.096	2.83	0.14
4.097	2.83	0.14
4.098	2.83	0.15
4.099	2.82	0.14
4.100	2.82	0.14
4.101	2.81	0.14
4.102	2.80	0.14
4.103	2.82	0.15
4.104	2.82	0.15
4.105	2.79	0.13
4.106	2.82	0.15
4.107	2.82	0.15
4.108	2.84	0.15
4.109	2.84	0.15
4.110	2.85	0.14
4.111	2.82	0.16
4.112	2.81	0.17
4.113	2.81	0.17
4.114	2.82	0.16
4.115	2.82	0.16
4.116	2.83	0.17
4.117	2.88	0.15
4.118	2.88	0.15
4.119	2.89	0.14
4.120	2.86	0.13
4.121	2.86	0.14
4.122	2.86	0.14
4.123	2.86	0.14
4.124	2.86	0.14
4.125	2.86	0.14
4.126	2.87	0.14
4.127	2.87	0.14
4.128	2.87	0.14
4.129	2.87	0.14
4.130	2.87	0.12
4.131	2.85	0.16
4.132	2.84	0.15
4.133	2.85	0.16
4.134	2.85	0.15
4.135	2.84	0.16
4.136	2.84	0.16
4.137	2.84	0.16
4.138	2.84	0.14
4.139	2.84	0.16
4.140	2.85	0.15
4.141	2.84	0.15
4.142	2.84	0.15
4.143	2.82	0.15
4.144	2.83	0.15
4.145	2.83	0.15
4.146	2.83	0.15
4.147	2.83	0.15
4.148	2.83	0.15
4.149	2.83	0.15
4.150	2.83	0.15
4.151	2.82	0.15
4.152	2.83	0.15
4.153	2.83	0.15
4.154	2.82	0.15
4.155	2.82	0.15
4.156	2.84	0.16
4.157	2.84	0.15
4.158	2.84	0.15
4.159	2.83	0.15
4.160	2.83	0.13
4.161	2.85	0.14
4.162	2.85	0.14
4.163	2.85	0.14
4.164	2.85	0.14
4.165	2.85	0.14
4.166	2.83	0.16
4.167	2.83	0.15
4.168	2.81	0.14
4.169	2.80	0.15
4.170	2.80	0.14
4.171	2.79	0.14
4.172	2.78	0.14
4.173	2.79	0.14
4.174	2.79	0.14
4.175	2.81	0.14
4.176	2.80	0.14
4.177	2.81	0.15
4.178	2.84	0.13
4.179	2.83	0.15
4.180	2.80	0.15
4.181	2.80	0.15
4.182	2.79	0.15
4.183	2.79	0.15
4.184	2.78	0.15
4.185	2.78	0.14
4.186	2.79	0.14
4.187	2.79	0.14
4.188	2.80	0.14
4.189	2.81	0.14
4.190	2.82	0.14
4.191	2.84	0.14
4.192	2.85	0.14
4.193	2.86	0.14
4.194	2.88	0.14
4.195	2.89	0.14
4.196	2.90	0.13
4.197	2.91	0.13
4.198	2.91	0.13
4.199	2.92	0.13
4.200	2.85	0.12
4.201	2.86	0.13
4.202	2.86	0.13
4.203	2.87	0.13
4.204	2.87	0.13
4.205	2.83	0.13
4.206	2.86	0.14
4.207	2.86	0.14
4.208	2.84	0.13
4.209	2.85	0.13
4.210	2.84	0.13
4.211	2.85	0.13
4.212	2.85	0.13
4.213	2.85	0.13
4.214	2.83	0.12
4.215	2.83	0.12
4.216	2.83	0.12
4.217	2.83	0.12
4.218	2.84	0.13
4.219	2.84	0.13
4.220	2.84	0.13
4.221	2.84	0.13
4.222	2.83	0.12
4.223	2.81	0.14
4.224	2.81	0.14
4.225	2.81	0.13
4.226	2.82	0.13
4.227	2.82	0.13
4.228	2.82	0.13
4.229	2.80	0.12
4.230	2.80	0.12
4.231	2.80	0.12
4.232	2.80	0.12
4.233	2.80	0.12
4.234	2.80	0.13
4.235	2.82	0.12
4.236	2.82	0.13
4.237	2.80	0.13
4.238	2.81	0.13
4.239	2.80	0.13
4.240	2.80	0.13
4.241	2.80	0.13
4.242	2.80	0.14
4.243	2.79	0.13
4.244	2.81	0.14
4.245	2.82	0.12
4.246	2.81	0.14
4.247	2.82	0.14
4.248	2.82	0.14
4.249	2.82	0.14
4.250	2.82	0.13
4.251	2.83	0.14
4.252	2.83	0.14
4.253	2.84	0.14
4.254	2.85	0.12
4.255	2.84	0.15
4.256	2.82	0.14
4.257	2.80	0.13
4.258	2.82	0.14
4.259	2.82	0.15
4.260	2.83	0.14
4.261	2.83	0.15
4.262	2.83	0.16
4.263	2.82	0.15
4.264	2.81	0.15
4.265	2.80	0.15
4.266	2.79	0.14
4.267	2.79	0.13
4.268	2.79	0.15
4.269	2.80	0.14
4.270	2.80	0.15
4.271	2.81	0.16
4.272	2.81	0.17
4.273	2.81	0.17
4.274	2.81	0.18
4.275	2.81	0.17
4.276	2.80	0.17
4.277	2.80	0.17
4.278	2.80	0.17
4.279	2.80	0.18
4.280	2.78	0.14
4.281	2.78	0.14
4.282	2.78	0.14
4.283	2.78	0.14
4.284	2.79	0.14
4.285	2.79	0.15
4.286	2.82	0.14
4.287	2.81	0.14
4.288	2.80	0.15
4.289	2.80	0.15
4.290	2.78	0.12
4.291	2.80	0.15
4.292	2.80	0.15
4.293	2.80	0.15
4.294	2.79	0.16
4.295	2.80	0.13
4.296	2.78	0.14
4.297	2.77	0.14
4.298	2.77	0.13
4.299	2.79	0.12
4.300	2.76	0.14
4.301	2.81	0.12
4.302	2.78	0.12
4.303	2.79	0.13
4.304	2.79	0.13
4.305	2.80	0.13
4.306	2.79	0.13
4.307	2.79	0.13
4.308	2.79	0.13
4.309	2.79	0.13
4.310	2.79	0.13
4.311	2.79	0.12
4.312	2.80	0.13
4.313	2.82	0.14
4.314	2.83	0.13
4.315	2.81	0.13
4.316	2.83	0.12
4.317	2.82	0.13
4.318	2.81	0.13
4.319	2.81	0.13
4.320	2.82	0.13
4.321	2.82	0.14
4.322	2.85	0.15
4.323	2.85	0.15
4.324	2.85	0.15
4.325	2.85	0.15
4.326	2.85	0.15
4.327	2.85	0.15
4.328	2.86	0.15
4.329	2.87	0.15
4.330	2.87	0.15
4.331	2.86	0.15
4.332	2.86	0.15
4.333	2.84	0.15
4.334	2.86	0.15
4.335	2.85	0.14
4.336	2.86	0.15
4.337	2.86	0.15
4.338	2.89	0.13
4.339	2.86	0.14
4.340	2.88	0.13
4.341	2.87	0.14
4.342	2.87	0.14
4.343	2.88	0.15
4.344	2.91	0.11
4.345	2.88	0.15
4.346	2.88	0.15
4.347	2.88	0.15
4.348	2.87	0.15
4.349	2.87	0.14
4.350	2.86	0.14
4.351	2.86	0.14
4.352	2.85	0.13
4.353	2.84	0.13
4.354	2.85	0.14
4.355	2.85	0.14
4.356	2.81	0.14
4.357	2.84	0.14
4.358	2.83	0.13
4.359	2.82	0.13
4.360	2.84	0.10
4.361	2.84	0.10
4.362	2.84	0.10
4.363	2.84	0.10
4.364	2.84	0.10
4.365	2.85	0.10
4.366	2.84	0.11
4.367	2.85	0.11
4.368	2.85	0.11
4.369	2.85	0.11
4.370	2.86	0.11
4.371	2.86	0.11
4.372	2.85	0.10
4.373	2.85	0.10
4.374	2.84	0.09
4.375	2.86	0.10
4.376	2.86	0.10
4.377	2.86	0.10
4.378	2.85	0.10
4.379	2.85	0.10
4.380	2.82	0.11
4.381	2.81	0.11
4.382	2.81	0.11
4.383	2.81	0.11
4.384	2.81	0.11
4.385	2.81	0.11
4.386	2.81	0.11
4.387	2.81	0.11
4.388	2.81	0.11
4.389	2.81	0.10
4.390	2.82	0.10
4.391	2.80	0.11
4.392	2.81	0.10
4.393	2.83	0.09
4.394	2.82	0.10
4.395	2.82	0.10
4.396	2.83	0.11
4.397	2.83	0.11
4.398	2.83	0.11
4.399	2.83	0.11
4.400	2.83	0.11
4.401	2.80	0.14
4.402	2.86	0.13
4.403	2.86	0.13
4.404	2.85	0.15
4.405	2.87	0.14
4.406	2.88	0.14
4.407	2.88	0.13
4.408	2.87	0.13
4.409	2.87	0.13
4.410	2.88	0.12
4.411	2.86	0.12
4.412	2.88	0.13
4.413	2.89	0.13
4.414	2.89	0.13
4.415	2.89	0.13
4.416	2.89	0.13
4.417	2.90	0.14
4.418	2.90	0.14
4.419	2.90	0.14
4.420	2.88	0.12
4.421	2.89	0.14
4.422	2.89	0.12
4.423	2.88	0.12
4.424	2.85	0.11
4.425	2.83	0.14
4.426	2.88	0.12
4.427	2.87	0.12
4.428	2.86	0.13
4.429	2.86	0.13
4.430	2.86	0.13
4.431	2.87	0.13
4.432	2.86	0.12
4.433	2.86	0.12
4.434	2.86	0.11
4.435	2.85	0.12
4.436	2.85	0.12
4.437	2.85	0.12
4.438	2.86	0.12
4.439	2.85	0.11
4.440	2.86	0.12
4.441	2.84	0.12
4.442	2.85	0.12
4.443	2.86	0.10
4.444	2.84	0.12
4.445	2.84	0.12
4.446	2.80	0.12
4.447	2.84	0.11
4.448	2.85	0.11
4.449	2.85	0.11
4.450	2.87	0.09
4.451	2.86	0.10
4.452	2.87	0.10
4.453	2.87	0.11
4.454	2.87	0.11
4.455	2.87	0.11
4.456	2.87	0.11
4.457	2.88	0.11
4.458	2.90	0.11
4.459	2.91	0.11
4.460	2.92	0.11
4.461	2.91	0.11
4.462	2.91	0.11
4.463	2.91	0.11
4.464	2.90	0.11
4.465	2.89	0.11
4.466	2.89	0.11
4.467	2.89	0.11
4.468	2.88	0.11
4.469	2.83	0.13
4.470	2.87	0.11
4.471	2.84	0.13
4.472	2.83	0.13
4.473	2.83	0.13
4.474	2.82	0.13
4.475	2.81	0.12
4.476	2.81	0.11
4.477	2.81	0.11
4.478	2.81	0.11
4.479	2.80	0.12
4.480	2.82	0.09
4.481	2.82	0.11
4.482	2.83	0.11
4.483	2.82	0.11
4.484	2.83	0.11
4.485	2.83	0.11
4.486	2.83	0.12
4.487	2.83	0.12
4.488	2.84	0.12
4.489	2.84	0.12
4.490	2.84	0.12
4.491	2.86	0.11
4.492	2.85	0.12
4.493	2.89	0.09
4.494	2.86	0.11
4.495	2.86	0.12
4.496	2.87	0.13
4.497	2.87	0.14
4.498	2.88	0.14
4.499	2.89	0.14
4.500	2.88	0.14
4.501	2.89	0.13
4.502	2.88	0.14
4.503	2.88	0.14
4.504	2.88	0.14
4.505	2.88	0.14
4.506	2.88	0.14
4.507	2.88	0.14
4.508	2.81	0.15
4.509	2.86	0.13
4.510	2.88	0.12
4.511	2.90	0.13
4.512	2.83	0.16
4.513	2.90	0.14
4.514	2.91	0.14
4.515	2.94	0.12
4.516	2.92	0.15
4.517	2.92	0.15
4.518	2.92	0.15
4.519	2.92	0.15
4.520	2.92	0.14
4.521	2.92	0.15
4.522	2.93	0.13
4.523	2.92	0.13
4.524	2.92	0.15
4.525	2.92	0.15
4.526	2.92	0.15
4.527	2.92	0.15
4.528	2.94	0.16
4.529	2.94	0.15
4.530	2.95	0.16
4.531	2.94	0.16
4.532	2.95	0.15
4.533	2.94	0.16
4.534	2.86	0.18
4.535	2.93	0.16
4.536	2.92	0.17
4.537	2.92	0.17
4.538	2.91	0.15
4.539	2.92	0.14
4.540	2.89	0.13
4.541	2.89	0.13
4.542	2.89	0.13
4.543	2.88	0.13
4.544	2.87	0.12
4.545	2.87	0.12
4.546	2.86	0.12
4.547	2.85	0.11
4.548	2.85	0.11
4.549	2.84	0.11
4.550	2.83	0.11
4.551	2.83	0.10
4.552	2.83	0.11
4.553	2.82	0.11
4.554	2.82	0.11
4.555	2.82	0.11
4.556	2.82	0.11
4.557	2.80	0.12
4.558	2.83	0.11
4.559	2.84	0.11
4.560	2.84	0.11
4.561	2.83	0.12
4.562	2.84	0.13
4.563	2.85	0.12
4.564	2.83	0.13
4.565	2.85	0.12
4.566	2.81	0.15
4.567	2.81	0.15
4.568	2.81	0.14
4.569	2.82	0.14
4.570	2.82	0.14
4.571	2.82	0.14
4.572	2.82	0.14
4.573	2.82	0.14
4.574	2.80	0.14
4.575	2.82	0.14
4.576	2.84	0.13
4.577	2.83	0.12
4.578	2.83	0.13
4.579	2.78	0.13
4.580	2.84	0.12
4.581	2.82	0.12
4.582	2.82	0.12
4.583	2.82	0.13
4.584	2.82	0.13
4.585	2.83	0.13
4.586	2.82	0.12
4.587	2.84	0.14
4.588	2.85	0.14
4.589	2.86	0.14
4.590	2.84	0.11
4.591	2.83	0.12
4.592	2.83	0.12
4.593	2.87	0.10
4.594	2.84	0.12
4.595	2.85	0.12
4.596	2.87	0.14
4.597	2.88	0.14
4.598	2.88	0.14
4.599	2.88	0.14
4.600	2.89	0.12
4.601	2.87	0.14
4.602	2.81	0.15
4.603	2.82	0.15
4.604	2.82	0.14
4.605	2.82	0.14
4.606	2.82	0.14
4.607	2.84	0.12
4.608	2.84	0.14
4.609	2.85	0.15
4.610	2.85	0.15
4.611	2.85	0.15
4.612	2.85	0.15
4.613	2.86	0.15
4.614	2.85	0.15
4.615	2.88	0.13
4.616	2.88	0.13
4.617	2.88	0.13
4.618	2.89	0.14
4.619	2.89	0.14
4.620	2.90	0.14
4.621	2.89	0.13
4.622	2.90	0.14
4.623	2.88	0.14
4.624	2.81	0.16
4.625	2.84	0.16
4.626	2.85	0.14
4.627	2.85	0.14
4.628	2.84	0.14
4.629	2.86	0.11
4.630	2.82	0.14
4.631	2.82	0.14
4.632	2.82	0.14
4.633	2.81	0.14
4.634	2.82	0.14
4.635	2.82	0.14
4.636	2.83	0.14
4.637	2.83	0.14
4.638	2.83	0.14
4.639	2.84	0.14
4.640	2.85	0.12
4.641	2.84	0.14
4.642	2.83	0.15
4.643	2.83	0.15
4.644	2.84	0.15
4.645	2.82	0.14
4.646	2.83	0.15
4.647	2.77	0.16
4.648	2.83	0.15
4.649	2.82	0.14
4.650	2.82	0.14
4.651	2.82	0.12
4.652	2.82	0.13
4.653	2.82	0.13
4.654	2.82	0.12
