Time	d18O	d18Ostd	d18O_lo	d18O_up
447.0	4.5906015	0.47510501	5.5218074	3.6593957
448.0	4.7483477	0.096815172	4.9381054	4.5585899
449.0	4.7776063	0.10293615	4.9793612	4.5758515
450.0	4.4430277	0.45290359	5.3307187	3.5553366
451.0	4.6874702	0.11852142	4.9197722	4.4551682
452.0	4.6176592	0.11143101	4.836064	4.3992544
453.0	4.5375287	0.23496631	4.9980627	4.0769948
454.0	4.5919885	0.12070848	4.8285771	4.3553998
455.0	4.3663357	0.32601617	5.0053273	3.727344
456.0	4.5761415	0.14438709	4.8591402	4.2931428
457.0	4.5589367	0.10852836	4.7716522	4.3462211
458.0	4.3515535	0.36209421	5.0612582	3.6418489
459.0	4.5332245	0.13881208	4.8052961	4.2611528
460.0	4.4375844	0.28074322	4.9878411	3.8873277
461.0	4.5084243	0.14018731	4.7831914	4.2336571
462.0	4.4753575	0.1854994	4.8389363	4.1117787
463.0	4.5186655	0.11071179	4.7356606	4.3016704
464.0	4.4316804	0.22290129	4.8685669	3.9947938
465.0	4.4686702	0.1028837	4.6703222	4.2670181
466.0	4.3545023	0.2772476	4.8979076	3.811097
467.0	4.3661059	0.20313202	4.7642446	3.9679671
468.0	4.3428543	0.17760859	4.6909672	3.9947415
469.0	4.2734328	0.20893118	4.682938	3.8639277
470.0	4.2561187	0.18795933	4.624519	3.8877185
471.0	4.2352243	0.24809274	4.7214861	3.7489626
472.0	4.1565637	0.26983892	4.685448	3.6276794
473.0	4.3027473	0.17300025	4.6418278	3.9636668
474.0	4.3392614	0.070135798	4.4767276	4.2017952
475.0	4.2830468	0.11142298	4.5014358	4.0646578
476.0	4.0822689	0.30122503	4.67267	3.4918678
477.0	4.1104952	0.22997225	4.5612408	3.6597495
478.0	4.0758468	0.19031265	4.4488596	3.702834
479.0	3.9782776	0.14640112	4.2652238	3.6913314
480.0	3.9878865	0.098764113	4.1814641	3.7943088
481.0	3.9940982	0.10946315	4.208646	3.7795504
482.0	3.8651886	0.1116785	4.0840784	3.6462987
483.0	3.8434489	0.10757837	4.0543025	3.6325953
484.0	3.8355672	0.11769566	4.0662506	3.6048837
485.0	3.77617	0.17783866	4.1247338	3.4276063
486.0	3.7140311	0.1207659	3.9507322	3.4773299
487.0	3.7446612	0.16533546	4.0687187	3.4206037
488.0	3.7071971	0.094727	3.892862	3.5215322
489.0	3.6478746	0.11466452	3.872617	3.4231321
490.0	3.6079148	0.14053745	3.8833682	3.3324614
491.0	3.6628471	0.42409471	4.4940728	2.8316215
492.0	3.6576889	0.13967982	3.9314614	3.3839165
493.0	3.6706219	0.10629197	3.8789541	3.4622896
494.0	3.8491156	0.2434625	4.3263021	3.3719291
495.0	3.7692807	0.066015975	3.898672	3.6398894
496.0	3.7689694	0.18524909	4.1320576	3.4058812
497.0	3.7421774	0.071261726	3.8818504	3.6025044
498.0	3.8008774	0.1902964	4.1738583	3.4278965
499.0	3.8059468	0.18335979	4.165332	3.4465616
